date,article_count,prominence,day_of_week
2024-11-22,50,49.0,Friday
2021-10-01,39,38.0,Friday
2020-06-27,31,30.0,Saturday
2020-07-21,29,28.0,Tuesday
2019-07-10,29,28.0,Wednesday
2016-08-12,24,23.0,Friday
2019-07-08,24,15.0,Monday
2024-09-05,23,22.0,Thursday
2023-07-08,22,21.0,Saturday
2020-05-27,22,21.0,Wednesday
2022-10-03,22,21.0,Monday
2020-06-22,21,14.0,Monday
2022-10-29,19,18.0,Saturday
2021-07-21,19,18.0,Wednesday
2024-08-22,19,18.0,Thursday
2021-10-07,19,14.0,Thursday
2023-11-10,19,18.0,Friday
2024-07-17,19,18.0,Wednesday
2016-08-03,18,17.0,Wednesday
2016-03-31,18,17.0,Thursday
2015-07-10,18,17.0,Friday
2015-10-27,17,16.0,Tuesday
2024-07-26,16,15.0,Friday
2023-01-12,16,15.0,Thursday
2023-03-24,15,14.0,Friday
2017-05-13,15,14.0,Saturday
2021-11-20,14,13.0,Saturday
2024-08-10,14,12.0,Saturday
2023-04-04,14,11.0,Tuesday
2015-07-06,14,7.0,Monday
2017-01-12,14,13.0,Thursday
2021-08-02,14,13.0,Monday
2024-03-15,14,13.0,Friday
2019-10-27,14,13.0,Sunday
2024-07-31,13,10.0,Wednesday
2024-10-15,13,12.0,Tuesday
2024-07-03,13,12.0,Wednesday
2024-11-07,13,8.0,Thursday
2016-09-08,13,12.0,Thursday
2024-11-15,12,7.0,Friday
2024-11-19,12,7.0,Tuesday
2020-07-01,12,4.0,Wednesday
2021-01-13,11,10.0,Wednesday
2018-03-23,11,10.0,Friday
2021-08-06,11,10.0,Friday
2021-05-17,11,10.0,Monday
2024-09-23,11,8.0,Monday
2024-11-11,11,4.0,Monday
2024-03-27,11,10.0,Wednesday
2024-12-17,11,10.0,Tuesday
2022-05-18,11,10.0,Wednesday
2024-08-06,10,6.0,Tuesday
2024-01-13,10,9.0,Saturday
2024-01-25,10,9.0,Thursday
2023-06-28,10,9.0,Wednesday
2023-10-19,10,9.0,Thursday
2023-04-19,10,9.0,Wednesday
2016-06-03,10,9.0,Friday
2024-09-09,10,6.0,Monday
2023-10-15,10,9.0,Sunday
2022-02-02,10,9.0,Wednesday
2022-10-11,10,9.0,Tuesday
2024-10-07,10,7.0,Monday
2022-12-14,10,9.0,Wednesday
2023-01-24,9,8.0,Tuesday
2022-12-01,9,8.0,Thursday
2020-07-26,9,7.0,Sunday
2023-10-06,9,8.0,Friday
2023-09-14,9,8.0,Thursday
2024-11-01,9,7.0,Friday
2021-08-23,9,8.0,Monday
2017-03-01,9,8.0,Wednesday
2017-02-02,9,8.0,Thursday
2021-07-23,9,8.0,Friday
2023-06-01,9,8.0,Thursday
2023-07-21,9,8.0,Friday
2024-06-26,9,8.0,Wednesday
2015-09-30,9,8.0,Wednesday
2024-05-23,9,8.0,Thursday
2018-01-18,9,8.0,Thursday
2022-10-23,9,5.0,Sunday
2021-04-27,9,8.0,Tuesday
2023-06-15,9,8.0,Thursday
2023-11-06,9,8.0,Monday
2022-04-27,8,7.0,Wednesday
2022-02-22,8,7.0,Tuesday
2024-05-02,8,7.0,Thursday
2019-06-28,8,6.0,Friday
2019-07-05,8,3.0,Friday
2022-03-09,8,7.0,Wednesday
2021-01-28,8,7.0,Thursday
2023-11-15,8,6.0,Wednesday
2021-10-29,8,7.0,Friday
2020-07-17,8,5.0,Friday
2020-08-25,8,7.0,Tuesday
2021-06-30,8,7.0,Wednesday
2021-06-08,8,7.0,Tuesday
2022-10-17,8,6.0,Monday
2020-07-13,8,5.0,Monday
2020-12-07,8,7.0,Monday
2019-03-08,8,7.0,Friday
2024-08-26,8,4.0,Monday
2016-04-23,8,7.0,Saturday
2024-08-03,8,4.0,Saturday
2024-09-30,8,4.0,Monday
2016-09-10,8,3.0,Saturday
2023-09-01,8,7.0,Friday
2024-09-27,8,4.0,Friday
2013-11-10,8,7.0,Sunday
2023-07-10,8,4.0,Monday
2017-04-07,8,7.0,Friday
2016-05-10,8,7.0,Tuesday
2023-05-16,8,6.0,Tuesday
2023-08-06,8,7.0,Sunday
2023-08-15,8,7.0,Tuesday
2015-10-21,8,7.0,Wednesday
2024-12-09,8,6.0,Monday
2021-06-14,7,6.0,Monday
2024-01-23,7,3.0,Tuesday
2023-05-26,7,5.0,Friday
2020-06-01,7,6.0,Monday
2016-10-22,7,6.0,Saturday
2023-01-05,7,4.0,Thursday
2024-10-20,7,5.0,Sunday
2015-11-03,7,6.0,Tuesday
2021-04-14,7,6.0,Wednesday
2023-06-23,7,5.0,Friday
2021-07-30,7,5.0,Friday
2021-05-23,7,5.0,Sunday
2023-08-27,7,5.0,Sunday
2015-12-07,7,6.0,Monday
2016-01-15,7,6.0,Friday
2023-12-15,7,6.0,Friday
2020-09-26,7,6.0,Saturday
2021-06-18,7,6.0,Friday
2015-09-16,7,6.0,Wednesday
2022-08-23,7,6.0,Tuesday
2020-02-27,7,6.0,Thursday
2024-04-15,7,6.0,Monday
2024-06-24,7,5.0,Monday
2013-08-31,7,6.0,Saturday
2019-06-12,7,6.0,Wednesday
2023-05-05,7,5.0,Friday
2019-07-02,7,3.0,Tuesday
2024-06-29,7,5.0,Saturday
2017-09-02,7,6.0,Saturday
2024-12-05,7,6.0,Thursday
2019-07-30,7,6.0,Tuesday
2024-04-20,7,5.0,Saturday
2024-10-23,7,6.0,Wednesday
2014-10-01,7,6.0,Wednesday
2014-08-31,7,6.0,Sunday
2021-12-13,7,6.0,Monday
2014-09-06,7,6.0,Saturday
2024-03-21,7,3.0,Thursday
2021-10-09,7,5.0,Saturday
2020-01-07,7,6.0,Tuesday
2020-01-16,7,6.0,Thursday
2021-10-20,6,5.0,Wednesday
2022-06-29,6,5.0,Wednesday
2022-06-13,6,5.0,Monday
2022-06-07,6,5.0,Tuesday
2022-08-27,6,5.0,Saturday
2024-12-23,6,4.0,Monday
2013-08-23,6,5.0,Friday
2014-08-27,6,4.0,Wednesday
2023-11-04,6,3.0,Saturday
2021-11-14,6,4.0,Sunday
2015-08-18,6,5.0,Tuesday
2021-07-06,6,5.0,Tuesday
2021-07-10,6,5.0,Saturday
2023-09-05,6,4.0,Tuesday
2014-10-08,6,5.0,Wednesday
2021-07-14,6,4.0,Wednesday
2024-06-20,6,5.0,Thursday
2023-10-23,6,5.0,Monday
2016-10-09,6,5.0,Sunday
2024-06-08,6,5.0,Saturday
2018-01-28,6,5.0,Sunday
2019-02-20,6,5.0,Wednesday
2019-04-13,6,5.0,Saturday
2017-10-15,6,5.0,Sunday
2019-08-15,6,5.0,Thursday
2024-03-25,6,4.0,Monday
2017-04-15,6,5.0,Saturday
2017-04-13,6,5.0,Thursday
2019-12-19,6,5.0,Thursday
2023-12-07,6,5.0,Thursday
2023-02-08,6,5.0,Wednesday
2017-03-07,6,3.0,Tuesday
2020-05-02,6,5.0,Saturday
2023-12-31,6,5.0,Sunday
2023-06-10,6,3.0,Saturday
2016-08-19,6,4.0,Friday
2016-07-22,6,5.0,Friday
2020-08-16,6,5.0,Sunday
2024-08-12,6,3.0,Monday
2020-09-04,6,5.0,Friday
2023-04-22,6,5.0,Saturday
2020-07-08,6,4.0,Wednesday
2020-10-09,6,5.0,Friday
2023-12-20,6,5.0,Wednesday
2020-10-17,6,5.0,Saturday
2023-05-02,5,4.0,Tuesday
2023-11-02,5,3.0,Thursday
2023-07-27,5,3.0,Thursday
2023-04-14,5,4.0,Friday
2022-08-14,5,4.0,Sunday
2023-05-21,5,3.0,Sunday
2023-08-20,5,3.0,Sunday
2023-05-12,5,3.0,Friday
2023-03-12,5,4.0,Sunday
2023-03-03,5,4.0,Friday
2022-09-25,5,4.0,Sunday
2022-10-14,5,3.0,Friday
2024-03-05,5,4.0,Tuesday
2022-08-05,5,4.0,Friday
2016-06-17,5,4.0,Friday
2017-05-07,5,4.0,Sunday
2017-04-22,5,4.0,Saturday
