date,article_count,prominence
2024-11-01,292,217.0
2022-10-01,236,211.0
2021-10-01,174,155.0
2019-07-01,171,151.0
2020-06-01,159,132.0
2023-03-01,136,110.0
2023-11-01,133,55.0
2016-08-01,127,122.0
2021-07-01,119,64.0
2015-07-01,116,98.0
2024-03-01,113,51.0
2015-10-01,95,61.0
2022-06-01,71,27.0
2019-10-01,68,27.0
2020-09-01,67,25.0
2021-01-01,67,37.0
2017-04-01,65,53.0
2014-09-01,64,58.0
2016-04-01,63,24.0
2013-10-01,60,54.0
2017-09-01,58,33.0
2018-01-01,49,39.0
2018-10-01,43,35.0
2014-04-01,33,24.0
