pub_yearmonth,Team/League Updates,Coaching Updates & Controversies,Schedules & Power Rankings,How to Watch
2012-11,0,2,0,4
2012-12,0,4,4,6
2013-01,4,2,4,4
2013-02,1,1,3,6
2013-04,0,3,5,3
2013-05,0,4,3,5
2013-06,0,2,8,2
2013-07,1,2,9,2
2013-08,4,12,17,24
2013-09,0,22,7,24
2013-10,0,15,5,40
2013-11,1,10,6,36
2013-12,0,5,1,5
2014-01,9,6,2,7
2014-02,0,1,3,3
2014-03,0,2,0,2
2014-04,2,8,15,8
2014-05,0,4,2,8
2014-06,2,1,0,7
2014-07,1,3,1,4
2014-08,2,13,10,31
2014-09,1,22,13,28
2014-10,3,19,10,32
2014-11,0,10,4,34
2014-12,0,3,4,3
2015-01,3,6,1,5
2015-02,0,2,2,2
2015-03,0,0,7,3
2015-04,0,3,9,4
2015-05,1,7,8,3
2015-06,2,13,9,16
2015-07,5,46,28,37
2015-08,3,9,8,14
2015-09,5,24,17,33
2015-10,7,32,9,47
2015-11,5,14,2,34
2015-12,0,6,4,14
2016-01,1,5,4,8
2016-02,2,4,10,10
2016-03,11,10,6,3
2016-04,11,17,11,23
2016-05,1,11,5,21
2016-06,2,17,7,19
2016-07,8,11,7,27
2016-08,4,46,23,54
2016-09,4,22,17,59
2016-10,3,21,7,37
2016-11,0,10,1,12
2016-12,1,5,2,4
2017-01,17,7,5,14
2017-02,0,4,11,11
2017-03,0,10,9,16
2017-04,6,14,24,21
2017-05,2,25,7,25
2017-06,7,4,2,12
2017-07,4,1,5,22
2017-08,9,5,8,12
2017-09,4,19,6,29
2017-10,1,10,8,33
2017-11,1,5,5,19
2017-12,0,4,2,4
2018-01,15,16,8,10
2018-02,0,3,7,9
2018-03,1,10,11,17
2018-04,0,3,1,4
2018-05,2,0,2,5
2018-06,2,0,3,6
2018-07,1,3,6,11
2018-08,2,6,9,18
2018-09,0,9,10,22
2018-10,0,12,7,24
2018-11,0,2,0,3
2018-12,0,6,3,5
2019-01,5,2,2,7
2019-02,0,7,1,8
2019-03,5,16,10,13
2019-04,5,12,17,10
2019-05,3,8,11,11
2019-06,11,20,8,40
2019-07,21,43,34,73
2019-08,17,8,15,13
2019-09,5,5,13,18
2019-10,5,7,17,39
2019-11,7,12,11,16
2019-12,2,6,5,7
2020-01,13,9,12,7
2020-02,3,17,9,8
2020-03,1,8,11,6
2020-04,1,4,9,6
2020-05,17,7,11,37
2020-06,13,25,75,46
2020-07,11,34,68,34
2020-08,5,11,4,22
2020-09,12,6,10,39
2020-10,8,14,6,36
2020-11,11,8,9,9
2020-12,4,16,1,6
2021-01,21,13,20,13
2021-02,3,6,13,8
2021-03,2,5,16,11
2021-04,2,10,27,23
2021-05,13,10,31,36
2021-06,8,15,29,35
2021-07,8,38,21,50
2021-08,4,27,11,50
2021-09,4,25,4,20
2021-10,11,100,23,40
2021-11,0,17,13,41
2021-12,15,10,9,18
2022-01,2,4,2,11
2022-02,6,22,9,14
2022-03,3,12,14,15
2022-04,4,12,11,8
2022-05,4,10,11,22
2022-06,7,16,11,37
2022-07,10,5,11,18
2022-08,6,13,20,34
2022-09,11,4,14,29
2022-10,13,82,28,113
2022-11,2,8,14,18
2022-12,7,14,13,9
2023-01,37,40,9,18
2023-02,5,2,11,7
2023-03,6,25,72,33
2023-04,15,15,47,36
2023-05,11,20,37,51
2023-06,8,17,54,46
2023-07,7,24,50,48
2023-08,2,15,43,35
2023-09,4,14,32,28
2023-10,8,10,36,61
2023-11,9,26,22,76
2023-12,13,14,16,17
2024-01,14,20,34,22
2024-02,1,3,8,14
2024-03,11,18,45,38
2024-04,1,14,18,29
2024-05,12,13,22,44
2024-06,14,9,24,49
2024-07,6,55,40,56
2024-08,14,51,27,64
2024-09,29,17,41,71
2024-10,12,30,48,74
2024-11,16,38,57,179
2024-12,4,28,21,22
