player_name,team_name,season_name,minutes_played,goals,primary_assists
Alex Morgan,Orlando Pride,2016,1469,4,1
Alex Morgan,Orlando Pride,2017,1252,9,4
Alex Morgan,Orlando Pride,2018,1630,5,2
Alex Morgan,Orlando Pride,2019,425,0,0
Alex Morgan,Orlando Pride,2021,1421,5,3
Alex Morgan,San Diego Wave FC,2022,2252,20,4
Alex Morgan,San Diego Wave FC,2023,1845,7,4
Alex Morgan,San Diego Wave FC,2024,989,1,0
Megan Rapinoe,Seattle Reign FC,2016,220,1,1
Megan Rapinoe,Seattle Reign FC,2017,1633,12,1
Megan Rapinoe,Seattle Reign FC,2018,1526,7,6
Megan Rapinoe,Seattle Reign FC,2019,495,0,0
Megan Rapinoe,Seattle Reign FC,2021,962,6,3
Megan Rapinoe,Seattle Reign FC,2022,1113,7,4
Megan Rapinoe,Seattle Reign FC,2023,1381,4,5
Trinity Rodman,Washington Spirit,2021,2567,8,8
Trinity Rodman,Washington Spirit,2022,2420,8,5
Trinity Rodman,Washington Spirit,2023,1855,5,2
Trinity Rodman,Washington Spirit,2024,2414,8,6
Trinity Rodman,Washington Spirit,2025,1125,5,2
Trinity Rodman,Washington Spirit,2026,1879,10,5
