player_id,player_name,birth_date,nationality,primary_broad_position,primary_general_position,secondary_broad_position,secondary_general_position,season_name,height_ft,height_in,weight_lb,competition,league
0Oq6243Pq6,Lena Silano,2000-02-28,USA,FW,ST,MF,W,"['2023', '2024']",,,,nwsl,nwsl
0Oq62D2xq6,Mwanalima Jereko,1997-09-04,Kenya,MF,CM,,AM,"['2024', '2025']",,,,nwsl,nwsl
0Oq62ob2q6,Heather Hinz,2001-06-27,USA,GK,GK,,,2024,,,,nwsl,nwsl
0Oq632XPQ6,Jenna Hellstrom,1995-04-02,Canada,DF,FB,,,2020,5.0,6.0,,nwsl,nwsl
0Oq63967Q6,Julia Dorsey,2000-08-08,USA,,,,,{},,,,nwsl,nwsl
0Oq63DazQ6,Lilly Reale,2003-08-12,USA,DF,FB,,,"['2025', '2026']",5.0,8.0,,nwsl,nwsl
0Oq63N8zQ6,Ivy Garner,2003-05-07,Puerto Rico,MF,W,,,2026,,,,nwsl,nwsl
0Oq63NGdQ6,Kate Del Fava,1998-07-23,USA,DF,CB,,FB,"['2020', '2021', '2022', '2023', '2024', '2025', '2026']",5.0,9.0,,nwsl,nwsl
0Oq63d8XQ6,Maddie Huster,1996-07-05,USA,,,,,{},5.0,4.0,,nwsl,nwsl
0Oq63dogQ6,Paige Cronin,1996-11-13,USA,MF,W,,,"['2019', '2020', '2021', '2022', '2023', '2024', '2025', '2026']",5.0,7.0,,nwsl,nwsl
0Oq63dpzQ6,Erin Yenney,1992-10-20,USA,FW,W,MF,W,2018,5.0,7.0,,nwsl,nwsl
0Oq63vrxQ6,Grace Chanda,1997-06-11,Zambia,MF,W,,,2025,5.0,3.0,115.0,nwsl,nwsl
0Oq6J6jxq6,Kalea Eichenberger,,USA,FW,ST,,,2026,,,,nwsl,nwsl
0Oq6J6kgq6,Reagan Raabe,2001-09-27,USA,MF,W,DF,FB,2026,5.0,5.0,,nwsl,nwsl
0Oq6Jmprq6,Gianna Paul,2004-12-28,USA,FW,ST,,,2026,5.0,10.0,,nwsl,nwsl
0Oq6L6BzM6,Madison Elwell,1999-09-06,USA,DF,FB,,,"['2022', '2023']",,,,nwsl,nwsl
0Oq6LKAxM6,Scarlett Camberos,2000-11-20,Mexico,MF,W,FW,W,"['2023', '2024']",5.0,6.0,137.0,nwsl,nwsl
0Oq6LbXzM6,Mia Gyau,1998-06-22,USA,DF,FB,,,"['2022', '2023']",,,,nwsl,nwsl
0Oq6Lbp7M6,Alexis Loera,1999-06-19,USA,MF,DM,DF,CB,"['2022', '2023', '2024', '2025']",,,,nwsl,nwsl
0Oq6LeZxM6,Joelle Anderson,1998-10-06,USA,DF,CB,,,"['2022', '2023', '2024', '2025', '2026']",,,,nwsl,nwsl
0Oq6LpwXM6,Taylor Aylmer,,USA,MF,DM,,,"['2021', '2022', '2023']",5.0,8.0,,nwsl,nwsl
0Oq6LyL7M6,Jenna Winebrenner,1999-03-01,USA,DF,CB,,,"['2022', '2023']",,,,nwsl,nwsl
0Oq6lL2rM6,Nahomi Kawasumi,1985-09-23,Japan,FW,W,MF,W,"['2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023']",5.0,2.0,110.0,nwsl,nwsl
0Oq6lLLrM6,Elise Thorsnes,1988-08-14,Norway,MF,W,,,2018,5.0,9.0,154.0,nwsl,nwsl
0Oq6lLw2M6,Lisa De Vanna,1984-11-14,Australia,MF,W,,AM,2016,5.0,1.0,123.0,nwsl,nwsl
0Oq6lRkrM6,Verónica Boquete,1987-04-09,Spain,MF,CM,,,"['2019', '2020']",5.0,4.0,119.0,nwsl,nwsl
0Oq6lgE2M6,Angharad James-Turner,1994-06-01,Wales,MF,DM,,CM,"['2021', '2022', '2024', '2025', '2026']",,,,nwsl,nwsl
0Oq6w2WgQ6,Katie Lind,1994-02-15,USA,DF,CB,,,"['2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2025']",5.0,10.0,,nwsl,nwsl
0Oq6w6D6Q6,Ally Brazier,1997-03-12,USA,MF,W,FW,ST,"['2020', '2021', '2022', '2023', '2024', '2025', '2026']",,,,nwsl,nwsl
0Oq6w6JgQ6,Naomi Girma,2000-06-14,USA,DF,CB,,,"['2022', '2023', '2024']",5.0,5.0,,nwsl,nwsl
0Oq6w6ngQ6,Holly Daugirda,,USA,,,,,{},,,,nwsl,nwsl
0Oq6wGnrQ6,Paige Nielsen,1993-10-14,USA,DF,CB,,,"['2016', '2019', '2020', '2021', '2022', '2023', '2024', '2025', '2026']",5.0,5.0,,nwsl,nwsl
0Oq6wVydQ6,Kayla Mills,1995-11-08,USA,DF,FB,,,2017,5.0,9.0,,nwsl,nwsl
0Oq6wZexQ6,Janine Sonis,1994-08-20,Canada,DF,FB,,,"['2016', '2017', '2018', '2022', '2024', '2025', '2026']",5.0,8.0,,nwsl,nwsl
