stadium_id,stadium_name,year_built,street,city,province,country,postal_code,latitude,longitude,capacity,roof,turf,field_x,field_y,competition
0Oq62v7q6D,Torero Stadium,1961.0,5998 Alcala Park Way,San Diego,California,USA,92111,32.7972,-117.1708,,,,,,nwsl
0x5g6ojM7O,Shell Energy Stadium,2012.0,2200 Texas Avenue,Houston,Texas,USA,77590,29.7522,-95.3524,22039.0,False,False,115.0,73.0,nwsl
0x5gJ7mM7O,Field of Legends,,,,,,,,,,,,,,nwsl
2lqRXGLMr0,Centreville Bank Stadium,,,Pawtucket,Rhode Island,USA,02860,,,,,,,,nwsl
2vQ1eawQrA,Lower.com Field,2021.0,96 Columbus Crew Way,Columbus,Ohio,USA,43215,39.9685,-83.0171,20371.0,False,False,115.0,75.0,nwsl
4wM4ZmdqjB,Rochester Rinos Stadium,,,,,,,,,,,,,,nwsl
7VqG1OWMvW,Wrigley Field,,,,,,,,,,,,,,nwsl
7vQ7xbOMD1,BMO Stadium,2018.0,3939 South Figueroa Street,Los Angeles,California,USA,90037,34.013,-118.285,22000.0,False,False,115.0,75.0,nwsl
9Yqda07QvJ,Lumen Field,2002.0,800 Occidental Avenue South,Seattle,Washington,USA,98134,47.5952,-122.3316,38500.0,False,True,116.0,75.0,nwsl
9YqdkYR5vJ,SeatGeek Stadium,2006.0,7000 South Harlem Avenue,Bridgeview,Illinois,USA,60455,41.7647,-87.8061,20000.0,False,False,120.0,75.0,nwsl
9YqdwY75vJ,Jordan Field,,,,,,,,,,,,,,nwsl
9z5kRwJMA3,AT&T Park,,,,,,,,,,,,,,nwsl
9z5ka6gQA3,Dick's Sporting Goods Park,2007.0,6000 Victory Way,Commerce City,Colorado,USA,80022,39.8056,-104.8919,18081.0,False,False,120.0,75.0,nwsl
9z5ka8PQA3,Empower Field at Mile High,,,,,,,,,,,,,,nwsl
BLMvra8Mxe,Lynn Family Stadium,2020.0,350 Adams Street,Louisville,Kentucky,USA,40206,38.2503,-85.7034,,,,,,nwsl
KAqBVWBqbg,Citi Field,2009.0,41 Seaver Way,Flushing,New York,USA,11368,40.7569,-73.8458,41922.0,False,False,110.0,70.0,nwsl
KPqjw8PQ6v,Zions Bank Stadium,,,Herriman,Utah,USA,84096,,,,,,,,nwsl
KXMe8lXQ64,Northwestern Stadium,,,,,,,,,,,,,,nwsl
NPqxAnWQ9d,Frontier Field,,,,,,,,,,,,,,nwsl
NPqxnokM9d,Titan Stadium,,,,,,,,,,,,,,nwsl
NPqxy6XQ9d,Children's Mercy Park,2011.0,1 Sporting Way,Kansas City,Kansas,USA,66111,39.1214,-94.821,18467.0,False,False,120.0,75.0,nwsl
NWMW84L5lz,Red Bull Arena,2010.0,600 Cape May Street,Harrison,New Jersey,USA,07029,40.7367,-74.1503,25000.0,False,False,120.0,75.0,nwsl
NWMW8ZN5lz,Subaru Park,2010.0,1 Stadium Drive,Chester,Pennsylvania,USA,19013,39.8322,-75.3789,18500.0,False,False,120.0,75.0,nwsl
NWMWoE7Mlz,MSU Soccer Park,1998.0,1 Normal Ave,Montclair,New Jersey,USA,07043,40.8401,74.2004,,,,,,nwsl
Oa5wKXY514,Snapdragon Stadium,,,,,,,,,,,,,,nwsl
Oa5wdz9q14,Cheney Stadium,,,Tacoma,Washington,USA,98405,,,,,,,,nwsl
Pk5L6mmQOW,Children's Mercy Victory Field,,,Kansas City,Missouri,USA,64132,,,,,,,,nwsl
Vj58W84M8n,PayPal Park,2015.0,1123 Coleman Avenue,San Jose,California,USA,95110,37.3514,-121.925,18000.0,False,False,115.0,74.0,nwsl
a35rBro5L6,UW Medicine Pitch at Memorial Stadium,,,,,,,,,,,,,,nwsl
e7MzlRjqr0,America First Field,2008.0,9256 State Street,Sandy,Utah,USA,84070,40.5829,-111.8932,20213.0,False,False,120.0,75.0,nwsl
eVq3ZzV5WO,Icahn Stadium,,,,,,,,,,,,,,nwsl
eVq3alGMWO,Toyota Stadium,2005.0,9200 World Cup Way,Frisco,Texas,USA,75033,33.1544,-96.8353,20500.0,False,False,117.0,74.0,nwsl
gOMna3xQwN,Osceola Heritage Park,,,,,,,,,,,,,,nwsl
gOMnlReqwN,Moda Field,,,,,,,,,,,,,,nwsl
gjMN7lK5Kp,Segra Field,2019.0,42095 Loudoun United Dr,Leesburg,Virginia,USA,20175,39.042,-77.6054,,,,,,nwsl
gpMOoayMzy,Yurcak Field,,,,,,,,,,,,,,nwsl
gpMOrLOQzy,WakeMed Soccer Park,,,Cary,North Carolina,USA,27511,,,,,,,,nwsl
