Team,Location,Stadium,Capacity,Capacity (standard configuration),Surface,Field lines,Image
Angel City FC,"Los Angeles, California",BMO Stadium,22000,22000,Bermuda grass,soccer-specific,
Bay FC,"San Jose, California",PayPal Park,18000,18000,SISGrass hybrid grass,soccer-specific,
Boston Legacy FC,"Foxborough, Massachusetts",Gillette Stadium[a],65878,65878,grass[b],multi-purpose,
Chicago Stars FC,"Evanston, Illinois",Martin Stadium,12023,12023,grass,soccer-specific,
Denver Summit FC,"Centennial, Colorado",Centennial Stadium[c],12000,12000,artificial turf,soccer-specific,
Gotham FC,"Harrison, New Jersey",Sports Illustrated Stadium,25000,25000,Kentucky bluegrass,soccer-specific,
Houston Dash,"Houston, Texas",Shell Energy Stadium,22039,"7,000[d]",Bermuda grass,soccer-specific,
Kansas City Current,"Kansas City, Missouri",CPKC Stadium,11500,11500,Grass[4],soccer-specific,
North Carolina Courage,"Cary, North Carolina",WakeMed Soccer Park,10000,10000,Grass,soccer-specific,
Orlando Pride,"Orlando, Florida",Inter.co Stadium,25500,25500,Grass,soccer-specific,
Portland Thorns FC,"Portland, Oregon",Providence Park,25218,25218,FieldTurf,soccer-specific,
Racing Louisville FC,"Louisville, Kentucky",Lynn Family Stadium,15304,"11,700[e]",Bermuda grass,soccer-specific,
San Diego Wave FC,"San Diego, California",Snapdragon Stadium,35000,35000,Bermuda grass,multi-purpose,
Seattle Reign FC,"Seattle, Washington",Lumen Field,68740,"10,000[f]",FieldTurf,multi-purpose,
Utah Royals,"Sandy, Utah",America First Field[g],20213,20213,Kentucky bluegrass,soccer-specific,
Washington Spirit,"Washington, D.C.",Audi Field,20000,20000,Bermuda grass,soccer-specific,
