team_id,team_name,team_short_name,team_abbreviation,competition,league
2lqRn34qr0,Denver Summit FC,Denver,DEN,nwsl,nwsl
315VnJ759x,Bay FC,Bay FC,BAY,nwsl,nwsl
4JMAk47qKg,Houston Dash,Houston,HOU,nwsl,nwsl
4wM4Ezg5jB,Boston Breakers,Boston,BOS,nwsl,nwsl
4wM4rZdqjB,Kansas City Current,Kansas City,KC,nwsl,nwsl
7VqG1lYMvW,San Diego Wave FC,San Diego,SD,nwsl,nwsl
7vQ7BBzqD1,Seattle Reign FC,Seattle,SEA,nwsl,nwsl
KPqjw8PQ6v,Chicago Stars FC,Chicago,CHI,nwsl,nwsl
Pk5LeeNqOW,Portland Thorns FC,Portland,POR,nwsl,nwsl
XVqKeVKM01,Orlando Pride,Orlando,ORL,nwsl,nwsl
aDQ0lzvQEv,Washington Spirit,Washington,WAS,nwsl,nwsl
eV5D2w9QKn,Utah Royals FC,Utah Royals,UTA,nwsl,nwsl
eV5DR6YQKn,Racing Louisville FC,Louisville,LOU,nwsl,nwsl
kRQa8JOqKZ,Angel City FC,Angel City,LA,nwsl,nwsl
kRQaWa15KZ,FC Kansas City,Kansas City,KC,nwsl,nwsl
odMX2OJqYL,Boston Legacy FC,Boston,BOS,nwsl,nwsl
raMyrr25d2,NJ/NY Gotham FC,Gotham FC,NJY,nwsl,nwsl
xW5pwDBMg1,Western New York Flash,Western New York,WNY,nwsl,nwsl
zeQZeazqKw,North Carolina Courage,North Carolina,NC,nwsl,nwsl
0KPqjA456v,San Jose Earthquakes,San Jose,SJE,mls,mls
19vQ2095K6,New England Revolution,New England,NER,mls,mls
4wM42l4qjB,Chivas USA,Chivas,CHV,mls,mls
9z5k7Yg5A3,Philadelphia Union,Philadelphia,PHI,mls,mls
APk5LGOMOW,CF Montréal,Montréal,MTL,mls,mls
EKXMeX3Q64,D.C. United,D.C. United,DCU,mls,mls
KAqBN0Vqbg,Atlanta United FC,Atlanta,ATL,mls,mls
NPqxKXZ59d,Charlotte FC,Charlotte,CLT,mls,mls
NWMWlBK5lz,FC Cincinnati,Cincinnati,CIN,mls,mls
Vj58weDM8n,New York City FC,New York City,NYC,mls,mls
WBLMvYAQxe,Portland Timbers FC,Portland,POR,mls,mls
X0Oq66zq6D,Chicago Fire FC,Chicago,CHI,mls,mls
YgOMngl5wN,Houston Dynamo FC,Houston,HOU,mls,mls
Z2vQ1xlqrA,Sporting Kansas City,Kansas City,SKC,mls,mls
a2lqR4JMr0,Real Salt Lake,Salt Lake,RSL,mls,mls
a2lqRX2Mr0,New York Red Bulls,New York,NYRB,mls,mls
eVq3ya6MWO,Los Angeles FC,Los Angeles FC,LAFC,mls,mls
gpMOLwl5zy,Austin FC,Austin,ATX,mls,mls
jYQJ19EqGR,Seattle Sounders FC,Seattle,SEA,mls,mls
jYQJ8EW5GR,Orlando City SC,Orlando City,ORL,mls,mls
kRQabn8MKZ,Toronto FC,Toronto,TOR,mls,mls
kRQand1MKZ,Minnesota United FC,Minnesota,MIN,mls,mls
kaDQ0wRqEv,LA Galaxy,LA Galaxy,LAG,mls,mls
lgpMOvnQzy,Vancouver Whitecaps FC,Vancouver,VAN,mls,mls
mKAqBBmqbg,FC Dallas,Dallas,FCD,mls,mls
mvzqoLZQap,Columbus Crew,Columbus,CLB,mls,mls
pzeQZ6xQKw,Colorado Rapids,Colorado,COL,mls,mls
vzqoOgNqap,Nashville SC,Nashville,NSH,mls,mls
wvq9B9wQWn,St. Louis City SC,St. Louis,STL,mls,mls
zeQZBOzQKw,San Diego FC,San Diego,SD,mls,mls
zeQZkL1MKw,Inter Miami CF,Miami,MIA,mls,mls
