"Time","MLS","National Women's Soccer League","United States women's national soccer team","United States men's national soccer team"
"2012-11-01",4,0,1,1
"2012-12-01",2,0,1,1
"2013-01-01",2,0,0,1
"2013-02-01",2,0,1,2
"2013-03-01",3,0,1,9
"2013-04-01",3,0,0,1
"2013-05-01",3,0,0,1
"2013-06-01",3,0,1,8
"2013-07-01",4,0,1,9
"2013-08-01",4,0,1,2
"2013-09-01",3,0,1,8
"2013-10-01",4,0,1,3
"2013-11-01",4,0,1,1
"2013-12-01",3,0,0,1
"2014-01-01",2,0,0,1
"2014-02-01",2,0,1,3
"2014-03-01",3,0,0,2
"2014-04-01",3,0,1,6
"2014-05-01",4,0,1,5
"2014-06-01",5,0,13,42
"2014-07-01",7,0,2,10
"2014-08-01",6,1,1,1
"2014-09-01",4,0,1,1
"2014-10-01",4,0,1,2
"2014-11-01",4,0,0,1
"2014-12-01",4,0,1,1
"2015-01-01",3,0,1,1
"2015-02-01",2,0,1,2
"2015-03-01",6,0,1,2
"2015-04-01",4,0,1,7
"2015-05-01",4,0,1,1
"2015-06-01",5,0,11,6
"2015-07-01",7,1,9,14
"2015-08-01",5,1,2,1
"2015-09-01",4,0,1,3
"2015-10-01",5,0,2,13
"2015-11-01",3,0,1,2
"2015-12-01",3,0,2,1
"2016-01-01",2,0,2,1
"2016-02-01",2,0,4,2
"2016-03-01",4,0,3,4
"2016-04-01",4,1,3,1
"2016-05-01",4,1,1,3
"2016-06-01",4,1,4,20
"2016-07-01",6,1,3,1
"2016-08-01",3,0,11,4
"2016-09-01",3,1,2,3
"2016-10-01",4,0,2,2
"2016-11-01",5,0,2,9
"2016-12-01",7,0,1,1
"2017-01-01",4,0,1,2
"2017-02-01",4,0,1,2
"2017-03-01",6,0,2,7
"2017-04-01",6,1,1,2
"2017-05-01",6,1,1,2
"2017-06-01",6,1,2,14
"2017-07-01",7,1,3,21
"2017-08-01",9,1,2,3
"2017-09-01",6,1,2,8
"2017-10-01",8,1,2,14
"2017-11-01",6,0,1,3
"2017-12-01",6,0,1,1
"2018-01-01",5,0,1,2
"2018-02-01",3,0,1,1
"2018-03-01",7,0,2,2
"2018-04-01",8,0,2,1
"2018-05-01",7,1,1,2
"2018-06-01",6,1,2,7
"2018-07-01",9,1,2,4
"2018-08-01",9,1,1,2
"2018-09-01",6,1,1,3
"2018-10-01",8,0,3,3
"2018-11-01",9,0,1,3
"2018-12-01",5,0,1,1
"2019-01-01",3,0,2,2
"2019-02-01",3,0,1,2
"2019-03-01",7,0,3,3
"2019-04-01",7,1,3,1
"2019-05-01",7,0,5,2
"2019-06-01",6,1,50,21
"2019-07-01",10,2,68,22
"2019-08-01",11,1,5,2
"2019-09-01",9,1,3,6
"2019-10-01",13,1,3,2
"2019-11-01",5,0,2,3
"2019-12-01",4,0,1,1
"2020-01-01",3,0,2,1
"2020-02-01",5,0,4,2
"2020-03-01",6,0,4,1
"2020-04-01",2,0,1,1
"2020-05-01",2,0,1,1
"2020-06-01",4,1,1,1
"2020-07-01",12,2,1,1
"2020-08-01",7,0,1,1
"2020-09-01",6,1,1,1
"2020-10-01",5,0,1,1
"2020-11-01",6,0,1,3
"2020-12-01",6,0,1,2
"2021-01-01",2,0,2,1
"2021-02-01",2,0,3,2
"2021-03-01",2,0,1,7
"2021-04-01",5,1,2,1
"2021-05-01",7,1,1,2
"2021-06-01",5,1,5,16
"2021-07-01",7,1,20,15
"2021-08-01",9,1,8,15
"2021-09-01",8,1,2,13
"2021-10-01",7,2,2,9
"2021-11-01",8,1,1,16
"2021-12-01",6,0,1,3
"2022-01-01",3,0,1,9
"2022-02-01",4,0,3,7
"2022-03-01",6,1,1,17
"2022-04-01",6,1,2,3
"2022-05-01",7,1,1,2
"2022-06-01",5,1,2,11
"2022-07-01",10,1,5,3
"2022-08-01",10,1,1,2
"2022-09-01",8,1,2,5
"2022-10-01",11,2,2,3
"2022-11-01",7,0,4,69
"2022-12-01",4,0,2,26
"2023-01-01",3,1,2,7
"2023-02-01",6,0,3,4
"2023-03-01",9,1,1,12
"2023-04-01",8,1,2,7
"2023-05-01",8,1,1,2
"2023-06-01",13,2,3,25
"2023-07-01",16,1,20,21
"2023-08-01",17,1,15,5
"2023-09-01",14,1,2,4
"2023-10-01",12,2,2,6
"2023-11-01",10,2,1,4
"2023-12-01",7,0,2,1
"2024-01-01",4,1,1,1
"2024-02-01",8,0,2,1
"2024-03-01",12,2,4,6
"2024-04-01",10,2,2,1
"2024-05-01",13,3,1,1
"2024-06-01",10,2,3,16
"2024-07-01",13,1,9,17
"2024-08-01",6,1,13,5
"2024-09-01",9,2,1,3
"2024-10-01",12,2,2,5
"2024-11-01",11,3,1,4
"2024-12-01",6,0,1,1
"2025-01-01",4,1,1,2
"2025-02-01",7,1,2,1
"2025-03-01",10,2,1,4
"2025-04-01",9,2,2,1
"2025-05-01",11,2,1,1
"2025-06-01",9,2,2,11
"2025-07-01",15,1,2,11
"2025-08-01",10,2,1,1
"2025-09-01",9,2,0,4
"2025-10-01",12,2,2,4
"2025-11-01",16,3,1,5
"2025-12-01",9,1,1,2
"2026-01-01",4,1,2,1
"2026-02-01",8,1,1,1
"2026-03-01",11,2,2,6
"2026-04-01",11,2,2,2
"2026-05-01",11,2,1,7
"2026-06-01",7,1,3,100
"2026-07-01",16,2,2,92
"2026-08-01",12,2,1,3
