Team,Career Avg. Attendance (excl. 2020),CAGR (debut → 2025),2025 YoY %,"Share of League Attendance, 2025 (%)",2026 Avg. (partial season),Seasons Played (through 2025)
Washington Spirit,7624.643005952381,0.15989063839407192,26.58926358272511,13.099341287213162,15258.888888888889,10
Portland Thorns FC,17100.780324363135,-0.00879461563124484,-1.0790415987562363,11.447369773201386,19081.777777777777,10
Bay FC ★,13721.076923076924,0.17458991911150656,17.458991911150655,9.90098755536373,11731.222222222223,2
San Diego Wave FC,14358.807692307693,0.14437124160891623,-13.152290729610316,8.968667468220449,12451.5,4
Kansas City Current,10129.733333333334,0.32222490440863494,0.0,8.272446074955555,11500.0,5
Angel City FC,15393.881868131868,-0.052410153630847556,-25.510147241769875,8.245316562361912,15237.333333333334,4
Orlando Pride,6494.039285714286,0.002499963163275165,6.926303888607888,7.38642085684044,8321.111111111111,10
NJ/NY Gotham FC,4863.907921245422,0.17013723431690764,-11.505007402780155,5.939616281818089,10900.272727272728,10
Utah Royals FC,9660.19391025641,-0.011544947169137787,-9.78474359280198,5.829351255253774,9477.3,5
North Carolina Courage,5715.768942961799,0.05366348595724624,20.789098208023994,5.132770190420405,7949.0,9
Seattle Reign FC,6602.8831235859725,0.05176472221865547,-7.700822884012537,4.841127930038742,6956.555555555556,10
Racing Louisville FC,5788.743131868132,-0.013898736588156546,-15.338704160228357,3.6879181181983536,5578.222222222223,5
Houston Dash,5062.417582417583,-0.005461103842691606,-11.994535519125682,3.6410066693385126,6835.7,10
Chicago Stars FC,4657.381524725275,0.06733369191721317,-18.388292864366008,3.607659976775493,4368.444444444444,10
Denver Summit FC ★,,,,,19577.0,0
Boston Legacy FC ★,,,,,10735.25,0
